Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size,TTL,TCP Flags,Payload Size,Attack Type,Interarrival Time,Packet Count
1743689377.865809,192.168.68.99,192.168.233.27,17,53,43958,554,64,None,2,Normal,0.015627145767211914,51
1743689377.865809,192.168.68.99,192.168.233.27,17,53,43958,540,64,None,512,UDP Flood,0.0,52
1743689377.8728275,192.168.68.99,192.168.233.27,17,53,54804,554,64,None,2,Normal,0.007018566131591797,53
1743689377.8728275,192.168.68.99,192.168.233.27,17,53,54804,540,64,None,512,UDP Flood,0.0,54
1743689377.8818634,192.168.68.99,192.168.233.27,17,53,55916,554,64,None,2,Normal,0.009035825729370117,55
1743689377.8818634,192.168.68.99,192.168.233.27,17,53,55916,540,64,None,512,UDP Flood,0.0,56
1743689377.8976264,192.168.68.99,192.168.233.27,17,53,11108,554,64,None,2,Normal,0.015763044357299805,57
1743689377.8976264,192.168.68.99,192.168.233.27,17,53,11108,540,64,None,512,UDP Flood,0.0,58
1743689377.8976264,192.168.68.99,192.168.233.27,17,53,56967,554,64,None,2,Normal,0.0,59
1743689377.8976264,192.168.68.99,192.168.233.27,17,53,56967,540,64,None,512,UDP Flood,0.0,60
1743689377.914783,192.168.68.99,192.168.233.27,17,53,19958,554,64,None,2,Normal,0.017156600952148438,61
1743689377.914783,192.168.68.99,192.168.233.27,17,53,19958,540,64,None,512,UDP Flood,0.0,62
1743689377.9256933,192.168.68.99,192.168.233.27,17,53,49630,554,64,None,2,Normal,0.010910272598266602,63
1743689377.9268365,192.168.68.99,192.168.233.27,17,53,49630,540,64,None,512,UDP Flood,0.0011432170867919922,64
1743689377.9312077,192.168.68.99,192.168.233.27,17,53,17273,554,64,None,2,Normal,0.004371166229248047,65
1743689377.9312077,192.168.68.99,192.168.233.27,17,53,17273,540,64,None,512,UDP Flood,0.0,66
1743689377.9312077,192.168.68.99,192.168.233.27,17,53,61388,554,64,None,2,Normal,0.0,67
1743689377.9312077,192.168.68.99,192.168.233.27,17,53,61388,540,64,None,512,UDP Flood,0.0,68
1743689377.9312077,192.168.68.99,192.168.233.27,17,53,42797,554,64,None,2,Normal,0.0,69
1743689377.9312077,192.168.68.99,192.168.233.27,17,53,42797,540,64,None,512,UDP Flood,0.0,70
1743689377.946866,192.168.68.99,192.168.233.27,17,53,53850,554,64,None,2,Normal,0.01565837860107422,71
1743689377.946866,192.168.68.99,192.168.233.27,17,53,53850,540,64,None,512,UDP Flood,0.0,72
1743689377.946866,192.168.68.99,192.168.233.27,17,53,48499,554,64,None,2,Normal,0.0,73
1743689377.946866,192.168.68.99,192.168.233.27,17,53,48499,540,64,None,512,UDP Flood,0.0,74
1743689377.946866,192.168.68.99,192.168.233.27,17,53,16339,554,64,None,2,Normal,0.0,75
1743689377.962496,192.168.68.99,192.168.233.27,17,53,16339,540,64,None,512,UDP Flood,0.015630006790161133,76
1743689377.962496,192.168.68.99,192.168.233.27,17,53,11476,554,64,None,2,Normal,0.0,77
1743689377.962496,192.168.68.99,192.168.233.27,17,53,11476,540,64,None,512,UDP Flood,0.0,78
